source,question,relevant_chunk_ids,relevant_pages,expected_answer,question_type
AI-generated virtual psychedelics bridge.pdf,What potential role does VR play in post-session integration according to the comment?,4,1;2;3,"It can let patients revisit significant visual elements later in controlled, sober states, turning abstract memories into material for deeper processing.",application
AI-generated virtual psychedelics bridge.pdf,What advantage does the comment suggest AI-generated VR could offer for personalization?,4,1;2;3,"The approach can adapt psychedelic-like experiences to individual preferences and therapeutic needs, with more flexibility to adjust duration or stop overwhelming experiences.",personalization
AI-generated virtual psychedelics bridge.pdf,What major limitation does the comment identify about the durability of VR psychedelic effects?,4,1;2;3,"The sustainability of the acute cognitive-flexibility improvements produced by VR-based interventions remains unknown, unlike the established potential for lasting effects from classical psychedelics.",limitation
p7(1).pdf,What is facial expression recognition (FER)?,2;3,1;2,FER is the process of detecting or classifying human emotions from facial expressions in images or videos.,definition
p7(1).pdf,Which emotions are treated as the fundamental facial-expression categories in the review?,4,1;2;3,"The review discusses six basic emotions—anger, fear, happiness, disgust, surprise, and sadness—and notes the addition of contempt as a seventh category.",fact
p7(1).pdf,What do valence and arousal represent in the review's two-dimensional emotion model?,4,1;2;3,"Valence represents how pleasant or unpleasant an emotion is, while arousal represents the level of activation or intensity.",definition
p7(1).pdf,Why are uncontrolled or 'in the wild' datasets important for FER research?,8;9,5;6;7;8,"They expose models to real-world variations and unexpected contexts, making evaluation more representative of practical deployment.",why
p7(1).pdf,What are the main stages of a traditional pre-deep-learning FER pipeline discussed in the review?,13;14,10;11;12;13,"Traditional FER relies on preprocessing/face detection, feature extraction, and machine-learning-based classification.",pipeline
p7(1).pdf,How does the Viola–Jones approach contribute to FER preprocessing?,14;15,11;12;13;14,It performs face detection using a cascade of classifiers over grayscale subregions and was designed to handle faces at different positions and scales.,method
p7(1).pdf,Which traditional handcrafted features are highlighted as widely used in FER?,17;18,14;15;16;17,"LBP, Gabor filters, and HOG are highlighted because they effectively capture texture or facial-structure information.",features
p7(1).pdf,What is the role of PCA in traditional FER feature processing?,18;19,15;16;17;18,"PCA reduces the dimensionality of the feature space while retaining important information, which can reduce storage needs and computation.",method
p7(1).pdf,Why did deep learning become attractive for FER compared with many traditional approaches?,19;20;21,16;17;18;19;20,"Advances in hardware such as GPUs, the ability of deep models to learn hierarchical representations automatically, and better scalability contributed to its adoption.",why
p7(1).pdf,How are CNNs and LSTMs combined in a hybrid FER approach described in the review?,28,25;26;27,"CNNs extract spatial features from frames, and the LSTM processes those features to capture temporal dependencies across successive frames.",architecture
p7(1).pdf,What problem do GRUs and LSTMs address in sequential facial-expression recognition?,24;25;26,21;22;23;24;25,They help model sequential dependencies and address limitations of traditional RNNs when learning longer-term dependencies.,architecture
p7(1).pdf,What is the main purpose of GANs in FER according to the review?,27;38,24;25;26;35;36;37,GANs can synthesize realistic facial images and are used especially for data augmentation and improving robustness when training FER models.,application
p7(1).pdf,What is distinctive about graph-based approaches for facial expression recognition?,32;38,29;30;31;35;36;37,"They model relationships among facial landmarks or regions as a graph, allowing the model to capture relational structure rather than treating features as isolated fixed points.",architecture
p7(1).pdf,What are some of the major 2024–2025 FER directions highlighted by the review?,43;46;47,40;41;42;43;44;45;46,"The review highlights graph neural networks, multimodal FER combining vision with speech/physiology, edge-oriented FER, zero-shot FER, and few-shot FER.",future
p7(1).pdf,What kinds of datasets are discussed in the review's FER taxonomy?,47;50;53;54,44;45;46;47;48;49;50;51;52;53,"Datasets are organized by data type (images or videos), controlled versus uncontrolled environments, and other characteristics such as year and source.",taxonomy
p8(1).pdf,What does the 2024 FER survey identify as two major challenges for deep FER systems?,2,1,"It highlights overfitting caused by limited training data and expression-unrelated variations such as illumination, head pose, image resolution, and identity bias.",challenge
p8(1).pdf,What are the six basic emotions and the additional seventh emotion discussed in the survey?,3,1;2,"Anger, fear, happiness, disgust, surprise, and sadness are the six basic emotions, with contempt added as a seventh.",fact
p8(1).pdf,How are valence and arousal arranged in the survey's two-dimensional emotion model?,3;4,1;2;3,"Valence describes pleasantness versus unpleasantness, and arousal describes activation; the two dimensions form four quadrants.",concept
p8(1).pdf,How does the survey categorize FER datasets?,8;39,5;6;7;36;37;38,"Datasets are first separated by data type (images or sequences/videos), then by controlled versus uncontrolled environments, with additional organization by creation year.",taxonomy
p8(1).pdf,What is the role of face detection in a traditional FER pipeline?,13;14,10;11;12;13,It locates the face and provides the region or coordinates used for subsequent feature extraction and classification.,pipeline
p8(1).pdf,Why is face alignment useful before extracting FER features?,14;15,11;12;13;14,It normalizes facial geometry so that subsequent processing can focus on comparable facial regions despite pose or positional variation.,preprocessing
p8(1).pdf,Which handcrafted feature methods does the survey discuss for traditional FER?,17;18,14;15;16;17,"LBP, Gabor filters, HOG and related handcrafted descriptors are discussed as traditional feature-extraction techniques.",features
p8(1).pdf,What benefits of dimensionality reduction are mentioned?,19;20,16;17;18;19,It reduces storage requirements and training computation while retaining important information in a smaller feature space.,benefit
p8(1).pdf,What is the main idea behind the Dynamic Attentive Center Loss (DACL) discussed in the survey?,26,23;24;25,DACL incorporates attention using intermediate CNN spatial feature maps so the model can emphasize more discriminative facial features.,loss
p8(1).pdf,What is the main purpose of an ensemble network in FER?,27,24;25;26,"It is primarily used to improve classification accuracy by combining the strengths of multiple base classifiers, not merely for data augmentation.",ensemble
p8(1).pdf,Why can multitask learning be difficult to optimize in FER?,29,26;27;28,"The relative weighting of the individual tasks affects performance, so determining appropriate task weights is a key challenge.",multitask
p8(1).pdf,What are the main components of the FER model reported by Huang et al. that achieved very high performance?,30,27;28;29,"It combines a primary deep model such as AlexNet or Inception, dual attention mechanisms (Grid-Wise and Visual Transformer Attention), and an FER module for expression differentiation.",architecture
p8(1).pdf,How does the FER-former architecture use attention and embedding integration?,34,31;32;33,"FER-former uses Multi-Granularity Embedding Integration, hybrid self-attention, and Heterogeneous Domains-Steering Supervision, with text embedded into multi-head self-attention.",transformer
p8(1).pdf,What are Frame Averaging and Frame Expansion used for in sequential FER?,35,32;33;34,They aggregate frame-level outputs into fixed-length representations so sequences with different numbers of frames can be compared or processed consistently.,sequential
p8(1).pdf,What is the role of a spatiotemporal FER network?,36,33;34;35,"It processes a temporal sequence of frames to capture both spatial/textural cues and temporal information, helping recognize subtler expressions.",sequential
Virtu-act a virtual reality program for mental health stigma.pdf,What is the main aim of the Virtu-ACT virtual reality program?,2;3,1;2,It aims to promote psychological flexibility and reduce mental-health stigma among university students using a VR program based on Acceptance and Commitment Therapy.,purpose
Virtu-act a virtual reality program for mental health stigma.pdf,"How many students participated in the Virtu-ACT trial, and how were they divided between experimental and control groups?",2;6,1;3;4;5,There were 208 students; the experimental group had 143 students and the control group had 67.,fact
Virtu-act a virtual reality program for mental health stigma.pdf,Which three broad strategies for reducing mental-health stigma are described in the paper?,2;3,1;2,"The paper describes protest, education, and contact.",fact
Virtu-act a virtual reality program for mental health stigma.pdf,How does Relational Frame Theory help explain stigma in the paper?,3,1;2,"It proposes that people learn relationships between stimuli beyond their physical properties, allowing 'mental disorder' to become associated with aversive responses such as fear and avoidance.",theory
Virtu-act a virtual reality program for mental health stigma.pdf,How does the paper define psychological flexibility?,3,1;2,It is the ability to observe and respond to private events while acting in line with one's values and personal meaning.,definition
Virtu-act a virtual reality program for mental health stigma.pdf,How is the Virtu-ACT program structured?,4;5,1;2;3;4,"It contains nine experiential ACT-based exercises, lasts about 15 minutes, is built in Unity, and includes a virtual therapist guiding the participant.",program
Virtu-act a virtual reality program for mental health stigma.pdf,What is the purpose of the 'pink elephant' exercise?,4,1;2;3,"It demonstrates how difficult it can be to deliberately eliminate or control private thoughts, since trying not to think about something can keep the thought active.",exercise
Virtu-act a virtual reality program for mental health stigma.pdf,What does the lemon exercise teach participants?,4,1;2;3,It encourages participants to observe thoughts and sensations without trying to eliminate or control them and to treat thoughts as thoughts that can come and go.,exercise
Virtu-act a virtual reality program for mental health stigma.pdf,What is illustrated by the red-button exercise in Virtu-ACT?,5,2;3;4,"It demonstrates that struggling to control or eliminate uncomfortable thoughts can pull attention away from valued activity; instead, participants are encouraged to notice thoughts without letting them dictate behavior.",exercise
Virtu-act a virtual reality program for mental health stigma.pdf,What happens in the bus exercise?,5,2;3;4,Participants observe a conversation between passengers about mental health and therapy and are encouraged to reflect on discomfort and avoid stigma through getting to know people rather than relying on social stereotypes.,exercise
Virtu-act a virtual reality program for mental health stigma.pdf,How did the experimental and control groups differ immediately after the intervention?,7,4;5;6,"The experimental group showed significant reductions in stigma and improvements in psychological flexibility/inflexibility measures, while the control group's changes were not significant.",results
Virtu-act a virtual reality program for mental health stigma.pdf,Which statistical test was used to compare the pretest and post-test means within groups?,7,4;5;6,The Wilcoxon test was used because the responses were non-parametric.,statistics
Virtu-act a virtual reality program for mental health stigma.pdf,Were the intervention effects maintained at the one-week follow-up?,8,5;6;7,"Yes. Significant differences found in the experimental group remained at the one-week follow-up, while the control group's responses remained comparatively stable.",followup
Virtu-act a virtual reality program for mental health stigma.pdf,What limitations do the authors identify for generalizing the Virtu-ACT findings?,9,6;7;8,"The measures were self-reported, the sample consisted of university students, and the study therefore may not generalize to the wider population; longer follow-up and additional measures are suggested.",limitations
Virtu-act a virtual reality program for mental health stigma.pdf,What overall conclusion did the authors draw about Virtu-ACT?,8;9,5;6;7;8,"The authors concluded that the VR program reduced stigma and promoted psychological flexibility, with the effects maintained at one-week follow-up, while noting the need for broader and longer-term research.",conclusion
Virtual reality natural experiences for mental health comparing.pdf,What was the main purpose of the virtual-nature study?,2,1,To compare mental-health outcomes between high- and low-immersion VR natural experiences.,purpose
Virtual reality natural experiences for mental health comparing.pdf,How were the two immersion conditions implemented?,2;5,1;2;3;4,Participants viewed identical prerecorded 360° natural scenes and sounds either through a head-mounted display (higher immersion) or a smartphone (lower immersion).,method
Virtual reality natural experiences for mental health comparing.pdf,How long did each VR natural-experience session last and how often was it conducted?,2,1,Each session lasted 30 minutes and was conducted once a week for 12 weeks.,procedure
Virtual reality natural experiences for mental health comparing.pdf,What were the key overall findings about higher versus lower immersion?,2;9,1;6;7;8,"Higher-immersion HMD experiences produced greater improvements in happiness, self-rated health, several QOL dimensions, and reductions in distress, depression, and somatization compared with the lower-immersion smartphone condition.",results
Virtual reality natural experiences for mental health comparing.pdf,What is the distinction between immersion and presence in the study?,2,1,"Immersion is the objective capability of the technology to deliver a surrounding and vivid illusion, while presence is the psychological sense of being in the virtual environment.",definition
Virtual reality natural experiences for mental health comparing.pdf,Why are head-mounted displays generally more immersive than smartphone-based VR?,3,1;2,"HMDs provide a wider field of view, higher-fidelity audio, motion tracking, and a stable fit that reduces distraction and enhances immersion.",comparison
Virtual reality natural experiences for mental health comparing.pdf,What kinds of sensory stimuli can be used in VR natural experiences?,3,1;2,"The study discusses visual and auditory stimuli as common elements, with other possible stimuli including wind, scent, touch, vibration, and temperature.",sensory
Virtual reality natural experiences for mental health comparing.pdf,How many participants completed the interventions in the HMD and smartphone groups?,6,3;4;5,Thirty participants completed the HMD intervention and 24 completed the smartphone intervention.,fact
Virtual reality natural experiences for mental health comparing.pdf,Which baseline characteristics differed significantly between the HMD and smartphone groups?,6,3;4;5,"Age and several baseline mental-health scores differed significantly, including happiness, self-rated health, physical/mental/environmental QOL, distress, depression, and somatization.",baseline
Virtual reality natural experiences for mental health comparing.pdf,Which mental-health outcomes improved significantly within the HMD group after the intervention?,7,4;5;6,Happiness increased significantly within the HMD group; other outcomes did not all show significant within-group changes.,results
Virtual reality natural experiences for mental health comparing.pdf,What did the GEE analysis show about group differences?,7,4;5;6,"The HMD group generally moved in a more favorable direction than the smartphone group across happiness, self-rated health, QOL measures, distress, depression, and somatization, with several significant group or group-by-time effects.",statistics
Virtual reality natural experiences for mental health comparing.pdf,What major design limitation weakens the interpretation of the immersion comparison?,8,5;6;7,"The study used a cluster trial without randomization, and the two groups differed substantially at baseline, which may confound changes attributed to immersion.",limitations
Virtual reality natural experiences for mental health comparing.pdf,Why did the researchers consider lack of a no-intervention control group a limitation?,8,5;6;7,"Without a no-intervention control, improvements cannot be attributed exclusively to the VR intervention because other factors could also contribute to changes over time.",limitations
Virtual reality natural experiences for mental health comparing.pdf,What is one potential confounding factor related to the smartphone condition?,8,5;6;7,"Participants used different smartphones, so variation in screen resolution, sound quality, and user experience could introduce bias.",confound
Virtual reality natural experiences for mental health comparing.pdf,What conclusion did the authors reach about immersion level and mental-health promotion?,9,6;7;8,"They recommended higher-immersion HMD-based VR natural experiences as a promising way to promote mental health, while cautioning that the very different group characteristics limit interpretation.",conclusion
